name,url,image_url,price,User-Agent
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Springfield,https://www.glassesshop.com/eyeglasses/fm1409,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Watertown,https://www.glassesshop.com/eyeglasses/fp1805,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Newark,https://www.glassesshop.com/eyeglasses/fm1372,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Trenton,https://www.glassesshop.com/eyeglasses/fp1232,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Plains,https://www.glassesshop.com/eyeglasses/fp2026,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Bevis,https://www.glassesshop.com/eyeglasses/fm1494,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49,Scrapy/1.6.0 (+https://scrapy.org)
Belle,https://www.glassesshop.com/eyeglasses/fp1768,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Orleans,https://www.glassesshop.com/eyeglasses/ft0459,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49.95,Scrapy/1.6.0 (+https://scrapy.org)
Mason,https://www.glassesshop.com/eyeglasses/fp1641,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Valentina,https://www.glassesshop.com/eyeglasses/fp1453,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$6.95,Scrapy/1.6.0 (+https://scrapy.org)
Goodland,https://www.glassesshop.com/eyeglasses/fp2155,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$9.95,Scrapy/1.6.0 (+https://scrapy.org)
Roanoke,https://www.glassesshop.com/eyeglasses/sup1005,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Dubois,https://www.glassesshop.com/eyeglasses/ft0326,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49.95,Scrapy/1.6.0 (+https://scrapy.org)
Zoe,https://www.glassesshop.com/eyeglasses/fp1456,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Brunswick,https://www.glassesshop.com/eyeglasses/fm1017,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Smith,https://www.glassesshop.com/eyeglasses/fm1419,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Leigh,https://www.glassesshop.com/eyeglasses/fz1368,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Jellico,https://www.glassesshop.com/eyeglasses/fz1494,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Salisbury,https://www.glassesshop.com/eyeglasses/fp2105,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Hartford,https://www.glassesshop.com/eyeglasses/fp2078,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Elroy,https://www.glassesshop.com/eyeglasses/sup1014,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Salinas,https://www.glassesshop.com/eyeglasses/fp2123,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Gaskell,https://www.glassesshop.com/eyeglasses/sup0568,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Bowen,https://www.glassesshop.com/eyeglasses/sm0902,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Heather,https://www.glassesshop.com/eyeglasses/fp1704,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Adam,https://www.glassesshop.com/eyeglasses/fp1543,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Atlantic,https://www.glassesshop.com/eyeglasses/sup0896,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Bloor,https://www.glassesshop.com/eyeglasses/fp1919,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Kelowna,https://www.glassesshop.com/eyeglasses/fp1409,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Glendale,https://www.glassesshop.com/eyeglasses/fp2121,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Celeste,https://www.glassesshop.com/eyeglasses/fm1470,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95,Scrapy/1.6.0 (+https://scrapy.org)
Chad,https://www.glassesshop.com/eyeglasses/fm1578,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Ingemar,https://www.glassesshop.com/eyeglasses/rm0298,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Terre,https://www.glassesshop.com/eyeglasses/rm0247,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$32.95,Scrapy/1.6.0 (+https://scrapy.org)
